1	women'sfashion	286350
2	clothing	145123
3	tops	114560
4	outerwear	47272
5	jeans	38171
6	skirts	35449
7	skirt	32701
8	t	31093
9	top	30840
10	jackets	29136
11	dresses	27156
12	shirts	26811
13	pants	26400
14	shorts	25809
15	dress	24193
16	shirt	21631
17	jacket	20208
18	sweaters	20054
19	kneelengthskirts	19896
20	coats	18825
21	blouses	18741
22	daydresses	17535
23	black	15844
24	coat	15511
25	print	14984
26	sleeve	14749
27	blouse	13727
28	denim	13706
29	sweater	13017
30	tanktops	12286
31	neck	12169
32	long	12090
33	cotton	11325
34	wool	10837
35	silk	10740
36	skinnyjeans	10558
37	leather	9936
38	white	9629
39	skinny	9603
40	sweatshirts	9590
41	lace	9240
42	high	8861
43	floral	8840
44	with	8811
45	h	8687
46	cropped	8672
47	miniskirts	8548
48	crop	8470
49	and	8412
50	women's	8225
51	blazers	8216
52	mini	8203
53	cardigans	8185
54	blue	7792
55	knit	7579
56	by	7571
57	cardigan	7546
58	blazer	7404
59	hoodies	7316
60	tank	7300
61	blend	7274
62	j	6931
63	in	6837
64	short	6814
65	topshop	6702
66	trousers	6526
67	the	6414
68	printed	6323
69	a	6263
70	striped	6204
71	leggings	6070
72	m	5799
73	sleeveless	5672
74	cocktaildresses	5463
75	shoulder	5426
76	tee	5413
77	pleated	5254
78	waist	5068
79	embroidered	4891
80	jumper	4747
81	dolce	4706
82	stretch	4652
83	sheinside	4600
84	red	4587
85	crepe	4572
86	vintage	4560
87	shein	4554
88	v	4483
89	front	4462
90	leg	4418
91	rise	4312
92	chiffon	4301
93	alexander	4272
94	pink	4256
95	cashmere	4144
96	off	4080
97	women	4058
98	jersey	4031
99	yoins	4024
100	stripe	4014
101	sweatshirt	3943
102	collar	3887
103	hem	3867
104	womens	3815
105	slim	3748
106	fur	3745
107	jean	3714
108	pencil	3708
109	grey	3675
110	capri	3672
111	size	3651
112	midi	3522
113	faux	3511
114	embellished	3466
115	button	3385
116	3	3375
117	croppedpants	3341
118	crew	3277
119	rag	3230
120	vests	3200
121	vest	3188
122	island	3172
123	green	3164
124	rompers	3153
125	river	3152
126	jumpsuits	3101
127	tie	3092
128	double	3060
129	back	3055
130	loose	3026
131	wide	2946
132	boyfriend	2933
133	biker	2918
134	wrap	2897
135	alice	2894
136	color	2829
137	pre	2792
138	satin	2775
139	longskirts	2765
140	up	2758
141	line	2743
142	mid	2742
